
(23, 4042.6499999999987)
(72, 5337.44)
(19, 5059.4299999999985)
(40, 5186.429999999999)
(49, 4394.599999999999)
(83, 4635.799999999997)
(70, 5368.249999999999)
(65, 5140.3499999999985)
(46, 5963.109999999999)
(80, 4727.860000000001)
(16, 4979.06)
(26, 5250.4)
(29, 5032.529999999999)
(9, 5322.649999999999)
(86, 4908.81)
(6, 5397.879999999998)
(31, 4765.05)
(22, 5019.449999999999)
(4, 4815.050000000002)
(18, 4921.27)
(59, 5642.89)
(71, 5995.660000000003)
(44, 4756.8899999999985)
(75, 4178.500000000001)
(79, 3790.570000000001)
(5, 4561.069999999999)
(51, 4975.22)
(85, 5503.43)
(90, 5290.409999999998)
(39, 6193.109999999999)
(92, 5379.280000000002)
(93, 5265.750000000001)
(61, 5497.479999999998)
(63, 5415.150000000001)
(8, 5517.240000000001)
(3, 4659.63)
(53, 4945.299999999999)
(30, 4990.72)
(58, 5437.7300000000005)
(91, 4642.259999999999)
(37, 4735.200000000002)
(10, 4819.700000000001)
(97, 5977.189999999995)
(34, 5330.8)
(35, 5155.419999999999)
(2, 5994.59)
(47, 4316.299999999999)
(14, 4735.030000000001)
(42, 5696.840000000003)
(50, 4517.27)
(20, 4836.859999999999)
(15, 5413.510000000001)
(48, 4384.33)
(36, 4278.049999999997)
(57, 4628.4)
(12, 4664.589999999998)
(54, 6065.389999999999)
(0, 5524.949999999998)
(88, 4830.549999999999)
(13, 4367.62)
(98, 4297.260000000001)
(55, 5298.090000000002)
(95, 4876.840000000002)
(27, 4915.889999999999)
(78, 4524.509999999999)
(25, 5057.610000000001)
(60, 5040.709999999999)
